epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,864.509,1.79278,3.52582,1.36008,0.59214,0.07288,0.08176,0.045,1.83671,2.4869,1.32375,0.000150795,0.000150795,0.000150795
2,2451.04,1.76825,2.00382,1.34033,0.32555,0.0568,0.06075,0.03259,1.73658,1.80405,1.31832,0.000299467,0.000299467,0.000299467
3,3973.5,1.69589,1.63432,1.3211,0.16864,0.05932,0.0638,0.03531,1.68375,1.5914,1.28793,0.000445137,0.000445137,0.000445137
4,5720.18,1.64554,1.5278,1.30522,0.17971,0.04789,0.05753,0.03206,1.67578,1.52523,1.27971,0.000441486,0.000441486,0.000441486
5,567.653,1.6299,1.49218,1.29245,0.28257,0.15573,0.14888,0.08285,1.63859,1.46032,1.2609,0.000436982,0.000436982,0.000436982
6,1725.96,1.60529,1.4491,1.28144,0.29831,0.11215,0.10911,0.0608,1.63513,1.44534,1.25092,0.000432478,0.000432478,0.000432478
7,3647.51,1.59222,1.42248,1.27379,0.31545,0.11527,0.11459,0.06433,1.60796,1.41262,1.24387,0.000427973,0.000427973,0.000427973
8,7005,1.57311,1.39916,1.26712,0.37635,0.11838,0.11846,0.06699,1.61079,1.41322,1.25187,0.000423468,0.000423468,0.000423468
9,11401.2,1.57377,1.37968,1.25836,0.35134,0.09127,0.0982,0.05485,1.60497,1.40964,1.25001,0.000418964,0.000418964,0.000418964
10,569.607,1.54488,1.34238,1.24334,0.40387,0.17281,0.16605,0.09236,1.59565,1.37013,1.23259,0.00041446,0.00041446,0.00041446
11,1570.16,1.52592,1.32266,1.23842,0.40087,0.12427,0.12827,0.07139,1.60366,1.37151,1.23532,0.000409955,0.000409955,0.000409955
12,3513.77,1.52075,1.30936,1.23424,0.37704,0.12427,0.13087,0.07489,1.5892,1.34607,1.23034,0.000405451,0.000405451,0.000405451
13,7654.68,1.5038,1.29736,1.23233,0.3936,0.1181,0.12774,0.07278,1.58912,1.35421,1.23139,0.000400946,0.000400946,0.000400946
14,12418.7,1.51146,1.28403,1.22537,0.31211,0.10185,0.11075,0.06186,1.58983,1.34619,1.23426,0.000396441,0.000396441,0.000396441
15,465.337,1.49495,1.2669,1.21879,0.51565,0.23826,0.23468,0.13051,1.57289,1.3144,1.22235,0.000391937,0.000391937,0.000391937
16,941.716,1.47906,1.24864,1.21323,0.5163,0.23877,0.23453,0.13251,1.58001,1.32515,1.22312,0.000387433,0.000387433,0.000387433
17,1425.57,1.47871,1.23983,1.20995,0.47917,0.23333,0.24088,0.13719,1.56517,1.30207,1.22519,0.000382928,0.000382928,0.000382928
18,1910.81,1.46178,1.22728,1.20745,0.45954,0.23111,0.23868,0.13442,1.58281,1.32035,1.23124,0.000378423,0.000378423,0.000378423
19,2397.68,1.4663,1.2168,1.20177,0.47479,0.23706,0.24139,0.1349,1.57318,1.31146,1.23543,0.000373919,0.000373919,0.000373919
20,2885.02,1.52029,1.26196,1.23252,0.5387,0.23486,0.24672,0.13966,1.56225,1.29782,1.21743,0.000369415,0.000369415,0.000369415
21,3373.47,1.50996,1.25702,1.22874,0.47064,0.24664,0.24396,0.13925,1.55818,1.3013,1.21238,0.00036491,0.00036491,0.00036491
22,3861.05,1.50753,1.25094,1.22933,0.47842,0.25074,0.25204,0.14248,1.55229,1.27556,1.20934,0.000360406,0.000360406,0.000360406
23,4348.9,1.49855,1.2452,1.22536,0.48215,0.24162,0.24826,0.14197,1.55002,1.27433,1.20908,0.000355901,0.000355901,0.000355901
24,4837.38,1.49109,1.22991,1.22145,0.48331,0.24238,0.25068,0.14244,1.54367,1.27916,1.20697,0.000351396,0.000351396,0.000351396
25,5324.99,1.48608,1.21736,1.21592,0.47817,0.24615,0.25685,0.14805,1.54704,1.25839,1.20711,0.000346892,0.000346892,0.000346892
26,5812.04,1.48186,1.22054,1.21392,0.49382,0.24493,0.25321,0.14337,1.53879,1.26824,1.20527,0.000342387,0.000342387,0.000342387
27,6298.93,1.4804,1.20955,1.21241,0.46071,0.2517,0.2555,0.14731,1.53193,1.25494,1.20072,0.000337883,0.000337883,0.000337883
28,6786.5,1.47644,1.2048,1.21107,0.48094,0.24397,0.25292,0.14484,1.53632,1.2536,1.20411,0.000333379,0.000333379,0.000333379
29,7274.16,1.47208,1.19771,1.20722,0.49698,0.23971,0.25427,0.14429,1.53423,1.25195,1.1947,0.000328874,0.000328874,0.000328874
30,7761.93,1.46868,1.19373,1.20935,0.49263,0.24815,0.25726,0.14697,1.52323,1.24087,1.19042,0.000324369,0.000324369,0.000324369
31,8249.59,1.46592,1.18358,1.2059,0.48022,0.2536,0.25517,0.1461,1.53055,1.24581,1.1954,0.000319865,0.000319865,0.000319865
32,8738.17,1.46738,1.18642,1.20533,0.49367,0.24681,0.27136,0.14892,1.5177,1.22807,1.19367,0.00031536,0.00031536,0.00031536
33,9226.37,1.4619,1.1731,1.20049,0.46187,0.25917,0.26334,0.15247,1.52229,1.22343,1.19299,0.000310856,0.000310856,0.000310856
34,9714.72,1.46557,1.17353,1.19884,0.56298,0.24788,0.2633,0.1522,1.51691,1.22347,1.18811,0.000306351,0.000306351,0.000306351
35,10201.6,1.45528,1.16754,1.19836,0.41096,0.26263,0.25841,0.14892,1.51893,1.22049,1.18757,0.000301847,0.000301847,0.000301847
36,10688.6,1.45292,1.16031,1.1926,0.55306,0.24826,0.26311,0.15271,1.51761,1.22142,1.19438,0.000297342,0.000297342,0.000297342
37,11175.8,1.44943,1.16001,1.19592,0.52201,0.26152,0.26461,0.15301,1.51182,1.21728,1.18944,0.000292838,0.000292838,0.000292838
38,11662.8,1.44903,1.15434,1.19323,0.5392,0.26111,0.26987,0.15612,1.50906,1.20767,1.18271,0.000288333,0.000288333,0.000288333
39,12149.5,1.44025,1.14872,1.19122,0.40766,0.26585,0.26611,0.15322,1.50464,1.21242,1.18667,0.000283829,0.000283829,0.000283829
40,12637.2,1.43937,1.14707,1.18755,0.52029,0.26169,0.26445,0.15217,1.51186,1.21179,1.18408,0.000279325,0.000279325,0.000279325
41,13125,1.44269,1.14648,1.18762,0.53475,0.25934,0.26412,0.15133,1.51617,1.22213,1.19335,0.00027482,0.00027482,0.00027482
42,13613.5,1.43973,1.14133,1.19026,0.4938,0.25693,0.26711,0.15288,1.50631,1.20638,1.18885,0.000270316,0.000270316,0.000270316
43,14101.5,1.43123,1.13341,1.1868,0.46918,0.27009,0.27002,0.15553,1.51078,1.20446,1.18863,0.000265811,0.000265811,0.000265811
44,14589.3,1.42082,1.12291,1.18116,0.44199,0.26508,0.26548,0.15364,1.50517,1.2015,1.18939,0.000261307,0.000261307,0.000261307
45,15077.8,1.431,1.12439,1.18299,0.5038,0.26557,0.28478,0.15836,1.50578,1.20515,1.18566,0.000256802,0.000256802,0.000256802
46,15566.5,1.42725,1.12056,1.18066,0.44703,0.26567,0.27752,0.1551,1.50951,1.19602,1.18728,0.000252298,0.000252298,0.000252298
47,16055.9,1.42716,1.11722,1.17807,0.46322,0.27477,0.26967,0.15468,1.50905,1.19995,1.18258,0.000247793,0.000247793,0.000247793
48,16544.3,1.42564,1.11554,1.18008,0.45293,0.27564,0.27442,0.15986,1.50345,1.19015,1.17617,0.000243289,0.000243289,0.000243289
49,17033.4,1.42431,1.1156,1.17977,0.46212,0.2645,0.27305,0.15803,1.50594,1.19102,1.18332,0.000238784,0.000238784,0.000238784
50,17522.9,1.42129,1.10503,1.17576,0.45891,0.2666,0.27971,0.15927,1.50189,1.19132,1.18329,0.00023428,0.00023428,0.00023428
51,18011.3,1.40785,1.10114,1.17326,0.48386,0.27031,0.27319,0.1587,1.50004,1.18972,1.18106,0.000229775,0.000229775,0.000229775
52,18499.6,1.41116,1.10092,1.17689,0.4959,0.27555,0.27768,0.16012,1.50563,1.19489,1.18402,0.00022527,0.00022527,0.00022527
53,18987.8,1.40635,1.09562,1.17442,0.50801,0.26535,0.28702,0.16344,1.50733,1.19083,1.18064,0.000220766,0.000220766,0.000220766
54,19476.1,1.40171,1.08686,1.16824,0.5033,0.26325,0.27698,0.15926,1.5004,1.19133,1.18141,0.000216261,0.000216261,0.000216261
55,19964.8,1.4085,1.09001,1.17075,0.44441,0.27922,0.27687,0.16184,1.50591,1.19072,1.18244,0.000211757,0.000211757,0.000211757
56,20453.2,1.39604,1.08583,1.1691,0.49947,0.27804,0.28355,0.16234,1.49692,1.17692,1.17972,0.000207252,0.000207252,0.000207252
57,20940.7,1.3955,1.08164,1.16832,0.4986,0.26792,0.27402,0.15833,1.50307,1.18305,1.18187,0.000202748,0.000202748,0.000202748
58,21428.2,1.39975,1.08104,1.16412,0.48386,0.27082,0.27677,0.16127,1.49975,1.18262,1.1816,0.000198244,0.000198244,0.000198244
59,21915.4,1.39875,1.08514,1.17173,0.49422,0.27287,0.27933,0.16024,1.49623,1.17852,1.17965,0.000193739,0.000193739,0.000193739
60,22403.6,1.39635,1.0758,1.16499,0.43604,0.28916,0.28144,0.16043,1.50558,1.18126,1.1836,0.000189235,0.000189235,0.000189235
61,22891.2,1.38985,1.06877,1.16316,0.47235,0.28615,0.28796,0.16381,1.49659,1.17264,1.17964,0.00018473,0.00018473,0.00018473
62,23377.6,1.38162,1.06439,1.16009,0.51858,0.27133,0.28518,0.16207,1.49687,1.17293,1.18072,0.000180226,0.000180226,0.000180226
