epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1135.14,1.34818,1.32995,1.05304,0.52606,0.24745,0.27031,0.15722,1.2696,0.98716,1.03569,0.000237314,0.000237314,0.000237314
2,2222.59,1.32809,0.99144,1.04316,0.52625,0.28579,0.28644,0.16714,1.26947,0.96253,1.03522,0.000470609,0.000470609,0.000470609
3,3262.62,1.32812,0.96208,1.04438,0.51659,0.2977,0.29756,0.17827,1.27195,0.92467,1.04083,0.000699191,0.000699191,0.000699191
4,4306.77,1.32929,0.94403,1.04656,0.60269,0.27649,0.29401,0.17528,1.25481,0.90855,1.03403,0.000692794,0.000692794,0.000692794
5,5347.32,1.31348,0.92029,1.04149,0.61126,0.27267,0.29921,0.17543,1.2367,0.89373,1.02596,0.000685726,0.000685726,0.000685726
6,6388.69,1.28374,0.90173,1.03079,0.50401,0.31699,0.32548,0.19869,1.22551,0.86611,1.02024,0.000678657,0.000678657,0.000678657
7,7417.49,1.27067,0.87949,1.02261,0.63022,0.28481,0.3327,0.20231,1.22347,0.84551,1.01638,0.000671588,0.000671588,0.000671588
8,8449.59,1.25876,0.86593,1.01871,0.57694,0.28941,0.32246,0.19777,1.20687,0.85485,1.01374,0.00066452,0.00066452,0.00066452
9,9479.07,1.25149,0.8466,1.012,0.51292,0.34642,0.33744,0.20775,1.20505,0.83714,1.0156,0.000657451,0.000657451,0.000657451
10,10506.2,1.25175,0.84823,1.01534,0.49864,0.30466,0.32886,0.19982,1.23,0.84372,1.02408,0.000650383,0.000650383,0.000650383
11,11531.9,1.24071,0.83178,1.01281,0.50933,0.33151,0.34403,0.20668,1.20282,0.82324,1.01415,0.000643314,0.000643314,0.000643314
12,12557,1.22799,0.82239,1.00792,0.52803,0.32163,0.33942,0.20507,1.18147,0.81475,1.0091,0.000636245,0.000636245,0.000636245
13,13588,1.2289,0.82622,1.00855,0.55149,0.32813,0.34431,0.20986,1.19418,0.82644,1.008,0.000629177,0.000629177,0.000629177
14,14611.9,1.21845,0.81424,1.00406,0.47247,0.35267,0.35496,0.21781,1.1816,0.82685,1.00446,0.000622108,0.000622108,0.000622108
15,15614.1,1.20578,0.8032,0.99833,0.48737,0.36911,0.36491,0.2244,1.1609,0.79366,0.99662,0.00061504,0.00061504,0.00061504
16,16613.3,1.21098,0.80414,1.00026,0.49516,0.32933,0.3409,0.2059,1.17018,0.8028,1.00678,0.000607971,0.000607971,0.000607971
17,17611.6,1.19511,0.78774,0.99341,0.46415,0.33288,0.35436,0.21605,1.1667,0.79228,1.00384,0.000600902,0.000600902,0.000600902
18,18608.7,1.19327,0.7881,0.99593,0.56957,0.34088,0.36531,0.22351,1.17554,0.7921,1.00821,0.000593834,0.000593834,0.000593834
19,19606.8,1.18652,0.77625,0.99018,0.6604,0.32231,0.36655,0.22866,1.15591,0.78384,0.9961,0.000586765,0.000586765,0.000586765
20,20602.3,1.18761,0.77261,0.98932,0.4717,0.35598,0.36244,0.21954,1.15425,0.77474,0.99676,0.000579697,0.000579697,0.000579697
21,21594.6,1.17683,0.77154,0.98924,0.56023,0.3432,0.36776,0.23033,1.15737,0.77926,0.99741,0.000572628,0.000572628,0.000572628
22,22587.8,1.18746,0.77066,0.98934,0.47964,0.35675,0.3622,0.2229,1.15169,0.76954,0.99658,0.000565559,0.000565559,0.000565559
23,23581.6,1.16689,0.76056,0.98449,0.57292,0.34625,0.37911,0.236,1.14566,0.76274,0.99389,0.000558491,0.000558491,0.000558491
24,24573.6,1.15981,0.75491,0.98066,0.55823,0.3638,0.37812,0.23546,1.15647,0.77016,0.99628,0.000551422,0.000551422,0.000551422
25,25565.1,1.15659,0.752,0.98016,0.57499,0.34662,0.37798,0.23955,1.14582,0.7726,0.99453,0.000544354,0.000544354,0.000544354
26,26555.8,1.15923,0.74845,0.97949,0.66193,0.33397,0.37035,0.22931,1.14607,0.76818,0.99316,0.000537285,0.000537285,0.000537285
27,27543.8,1.15426,0.74654,0.98075,0.59552,0.33604,0.38879,0.24628,1.13893,0.75499,0.99051,0.000530216,0.000530216,0.000530216
28,28537.1,1.15319,0.74387,0.97836,0.50129,0.36505,0.38046,0.23796,1.14523,0.76039,0.99643,0.000523148,0.000523148,0.000523148
29,29528.2,1.14554,0.73594,0.97686,0.53722,0.35627,0.37965,0.23546,1.1404,0.76443,0.99123,0.000516079,0.000516079,0.000516079
30,30518.1,1.1453,0.73561,0.97343,0.57136,0.325,0.3735,0.23162,1.1395,0.76204,0.99594,0.000509011,0.000509011,0.000509011
31,31508.6,1.15196,0.73074,0.97286,0.51626,0.38054,0.39374,0.24547,1.13481,0.74181,0.99159,0.000501942,0.000501942,0.000501942
32,32498.4,1.13296,0.72166,0.97347,0.59399,0.371,0.39524,0.24637,1.12948,0.74751,0.9908,0.000494873,0.000494873,0.000494873
33,33488.2,1.1313,0.72279,0.97052,0.59933,0.34204,0.3858,0.24131,1.1343,0.74584,0.99261,0.000487805,0.000487805,0.000487805
34,34474.9,1.12745,0.71968,0.96892,0.59445,0.35415,0.39082,0.24185,1.12378,0.7362,0.98952,0.000480736,0.000480736,0.000480736
35,35457.4,1.13188,0.71556,0.96781,0.52613,0.37782,0.39121,0.24133,1.1231,0.74129,0.9849,0.000473668,0.000473668,0.000473668
36,36440.7,1.12701,0.7153,0.97165,0.55321,0.35407,0.38645,0.2434,1.11625,0.73218,0.98505,0.000466599,0.000466599,0.000466599
37,37425.7,1.12164,0.71025,0.96452,0.48769,0.36452,0.38906,0.24493,1.12246,0.73431,0.98647,0.00045953,0.00045953,0.00045953
38,38411.9,1.12536,0.71116,0.9638,0.58361,0.34888,0.39292,0.2461,1.12391,0.74228,0.98932,0.000452462,0.000452462,0.000452462
39,39381.3,1.11796,0.70643,0.96554,0.50015,0.38172,0.39632,0.24861,1.12524,0.73628,0.98925,0.000445393,0.000445393,0.000445393
40,40341.8,1.10819,0.69743,0.96149,0.53064,0.37242,0.39049,0.24347,1.12423,0.73624,0.98803,0.000438325,0.000438325,0.000438325
41,41301.2,1.11198,0.70096,0.96215,0.56692,0.37394,0.39516,0.24807,1.11894,0.73338,0.9832,0.000431256,0.000431256,0.000431256
42,42262.8,1.10192,0.68822,0.9616,0.56359,0.37623,0.40655,0.25473,1.11515,0.72856,0.98234,0.000424187,0.000424187,0.000424187
43,43225.1,1.09994,0.69058,0.9579,0.58134,0.38609,0.41723,0.26215,1.1217,0.73084,0.98718,0.000417119,0.000417119,0.000417119
44,44187.1,1.08768,0.68739,0.95741,0.57413,0.37348,0.40234,0.25172,1.11502,0.73097,0.98332,0.00041005,0.00041005,0.00041005
45,45146.9,1.09304,0.68269,0.95772,0.53281,0.39148,0.41311,0.26269,1.11516,0.7267,0.9809,0.000402982,0.000402982,0.000402982
46,46108,1.08872,0.67671,0.95463,0.52035,0.39411,0.40612,0.25454,1.11043,0.7263,0.98213,0.000395913,0.000395913,0.000395913
47,47071.1,1.0822,0.67513,0.95371,0.61535,0.37107,0.40316,0.24649,1.11099,0.7262,0.98396,0.000388844,0.000388844,0.000388844
48,48045.1,1.07999,0.66992,0.95253,0.52915,0.38811,0.41234,0.25868,1.11065,0.71975,0.98121,0.000381776,0.000381776,0.000381776
49,49018.2,1.08451,0.67085,0.95326,0.60039,0.38227,0.4153,0.26015,1.11212,0.72034,0.98158,0.000374707,0.000374707,0.000374707
50,49983.3,1.08082,0.67209,0.95029,0.577,0.3785,0.41047,0.25411,1.11211,0.72283,0.98326,0.000367639,0.000367639,0.000367639
51,50946.1,1.07683,0.66799,0.95077,0.5761,0.37126,0.40385,0.25031,1.11072,0.71863,0.98373,0.00036057,0.00036057,0.00036057
52,51906.9,1.06748,0.65701,0.94734,0.528,0.37948,0.40777,0.2522,1.10714,0.71818,0.98216,0.000353501,0.000353501,0.000353501
53,52879.8,1.06563,0.65648,0.94703,0.54788,0.36211,0.39999,0.24897,1.10013,0.71152,0.97643,0.000346433,0.000346433,0.000346433
54,53848.8,1.05565,0.65073,0.94523,0.53033,0.38743,0.40819,0.2559,1.1028,0.71298,0.9796,0.000339364,0.000339364,0.000339364
55,54815.2,1.06891,0.65784,0.94721,0.59266,0.37183,0.4073,0.25797,1.10194,0.71029,0.97938,0.000332296,0.000332296,0.000332296
56,55778.7,1.06502,0.65558,0.94585,0.56858,0.39932,0.41228,0.26009,1.10116,0.70516,0.97747,0.000325227,0.000325227,0.000325227
57,56742.2,1.0546,0.64818,0.94349,0.6128,0.37685,0.41872,0.26522,1.09618,0.70407,0.97981,0.000318158,0.000318158,0.000318158
58,57713.1,1.05745,0.64877,0.94671,0.51599,0.37704,0.40243,0.24813,1.09808,0.70696,0.98036,0.00031109,0.00031109,0.00031109
59,58682.8,1.05923,0.64555,0.94386,0.57007,0.38614,0.41697,0.25901,1.10118,0.71049,0.98043,0.000304021,0.000304021,0.000304021
